1 6 11 16
1 6 11 21
1 6 11 26
1 6 11 31
1 6 11 36
1 6 11 41
1 6 16 21
1 6 16 26
1 6 16 31
1 6 16 36
1 6 16 41
1 6 21 26
1 6 21 31
1 6 21 36
1 6 21 41
1 6 26 31
1 6 26 36
1 6 26 41
1 6 31 36
1 6 31 41
1 6 36 41
1 11 16 21
1 11 16 26
1 11 16 31
1 11 16 36
1 11 16 41
1 11 21 26
1 11 21 31
1 11 21 36
1 11 21 41
1 11 26 31
1 11 26 36
1 11 26 41
1 11 31 36
1 11 31 41
1 11 36 41
1 16 21 26
1 16 21 31
1 16 21 36
1 16 21 41
1 16 26 31
1 16 26 36
1 16 26 41
1 16 31 36
1 16 31 41
1 16 36 41
1 21 26 31
1 21 26 36
1 21 26 41
1 21 31 36
1 21 31 41
1 21 36 41
1 26 31 36
1 26 31 41
1 26 36 41
1 31 36 41
6 11 16 21
6 11 16 26
6 11 16 31
6 11 16 36
6 11 16 41
6 11 21 26
6 11 21 31
6 11 21 36
6 11 21 41
6 11 26 31
6 11 26 36
6 11 26 41
6 11 31 36
6 11 31 41
6 11 36 41
6 16 21 26
6 16 21 31
6 16 21 36
6 16 21 41
6 16 26 31
6 16 26 36
6 16 26 41
6 16 31 36
6 16 31 41
6 16 36 41
6 21 26 31
6 21 26 36
6 21 26 41
6 21 31 36
6 21 31 41
6 21 36 41
6 26 31 36
6 26 31 41
6 26 36 41
6 31 36 41
11 16 21 26
11 16 21 31
11 16 21 36
11 16 21 41
11 16 26 31
11 16 26 36
11 16 26 41
11 16 31 36
11 16 31 41
11 16 36 41
11 21 26 31
11 21 26 36
11 21 26 41
11 21 31 36
11 21 31 41
11 21 36 41
11 26 31 36
11 26 31 41
11 26 36 41
11 31 36 41
16 21 26 31
16 21 26 36
16 21 26 41
16 21 31 36
16 21 31 41
16 21 36 41
16 26 31 36
16 26 31 41
16 26 36 41
16 31 36 41
21 26 31 36
21 26 31 41
21 26 36 41
21 31 36 41
26 31 36 41
